Country Name,Indicator Name,2013,2014,2015
Brazil,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.671999931,5.602000237,7.224999905
Barbados,"Unemployment, male (% of male labor force) (modeled ILO estimate)",11.68400002,11.625,12.12899971
Brunei Darussalam,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.18900013,6.140999794,6.024000168
Bhutan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.256000042,1.965999961,1.842000008
Botswana,"Unemployment, male (% of male labor force) (modeled ILO estimate)",14.51299953,14.13099957,13.78899956
Central African Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.861000061,5.842999935,5.868000031
Canada,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.494999886,7.376999855,7.460000038
Central Europe and the Baltics,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.888243385,8.776003138,7.74186851
Switzerland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.602000237,4.690999985,4.702000141
Channel Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",11.03100014,10.44400024,10.90999985
Chile,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.546999931,6.335999966,6.072000027
China,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.995999813,5.058000088,5.072999954
Cote d'Ivoire,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.269999981,2.200999975,2.131999969
Cameroon,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.464999914,3.467999935,3.444999933
"Congo, Dem. Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",3.042999983,3.042000055,3.046000004
"Congo, Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",9.336000443,9.31400013,9.364999771
Colombia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.19299984,6.563000202,6.217000008
Comoros,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.179999828,4.164000034,4.144000053
Cabo Verde,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.838000298,9.758000374,9.682999611
Costa Rica,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.816999912,7.513000011,7.605000019
Caribbean small states,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.603963145,8.702742274,8.651279467
Cuba,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.128000021,2.427999973,2.285000086
Curacao,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Cayman Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Cyprus,"Unemployment, male (% of male labor force) (modeled ILO estimate)",16.49799919,16.9829998,15.03600025
Czech Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.897999763,5.103000164,4.236000061
Germany,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.497000217,5.28000021,4.967000008
Djibouti,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.421999931,5.353000164,5.290999889
Dominica,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Denmark,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.751999855,6.381999969,5.925000191
Dominican Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.788000107,4.296000004,3.796999931
Algeria,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.284999847,9.144000053,9.968000412
East Asia & Pacific (excluding high income),"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.391803986,4.409673678,4.462310373
Early-demographic dividend,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.407598185,4.334032708,4.436437274
East Asia & Pacific,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.373864489,4.365048405,4.400996036
Europe & Central Asia (excluding high income),"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.500042346,7.744352279,7.733503324
Europe & Central Asia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.245098055,8.997070748,8.550581808
Ecuador,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.710000038,3.069999933,3.02699995
"Egypt, Arab Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",9.531000137,9.369999886,9.130999565
Euro area,"Unemployment, male (% of male labor force) (modeled ILO estimate)",11.82764336,11.4561327,10.68164231
Eritrea,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.175000191,6.129000187,6.105000019
Spain,"Unemployment, male (% of male labor force) (modeled ILO estimate)",25.60099983,23.60000038,20.77899933
Estonia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.085000038,7.856999874,6.243999958
Ethiopia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.996999979,2.990999937,2.982000113
European Union,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.77642215,10.11203658,9.299191834
Fragile and conflict affected situations,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.706124098,6.840168248,6.880680186
Finland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.815999985,9.326000214,9.881999969
Fiji,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.116000175,4.934999943,4.889999866
France,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.0369997,10.53899956,10.79100037
Faroe Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
"Micronesia, Fed. Sts.","Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Gabon,"Unemployment, male (% of male labor force) (modeled ILO estimate)",14.44099998,14.30700016,14.19799995
United Kingdom,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.952000141,6.361000061,5.453000069
Georgia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",16.46199989,13.96800041,13.44499969
Ghana,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.983999968,1.988000035,1.978999972
Gibraltar,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Guinea,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.546999931,5.544000149,5.540999889
"Gambia, The","Unemployment, male (% of male labor force) (modeled ILO estimate)",6.847000122,6.867000103,6.84100008
Guinea-Bissau,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.756000042,5.739999771,5.696000099
Equatorial Guinea,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.18599987,5.138000011,5.133999825
Greece,"Unemployment, male (% of male labor force) (modeled ILO estimate)",24.5170002,23.6420002,21.77000046
Grenada,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Greenland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Guatemala,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.85800004,2.512000084,2.075999975
Guam,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.8739996,7.18599987,6.524000168
Guyana,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.237000465,9.640000343,9.854000092
High income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.639768601,6.994791096,6.402616707
"Hong Kong SAR, China","Unemployment, male (% of male labor force) (modeled ILO estimate)",3.773000002,3.565999985,3.436000109
Honduras,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.546000004,4.644000053,3.499000072
Heavily indebted poor countries (HIPC),"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.493603858,4.507369095,4.532478671
Croatia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",17.66799927,16.44400024,15.55200005
Haiti,"Unemployment, male (% of male labor force) (modeled ILO estimate)",12.06299973,12.14700031,12.26799965
Hungary,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.21199989,7.573999882,6.618000031
IBRD only,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.947413057,4.949026227,5.049523439
IDA & IBRD total,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.824249004,4.809668664,4.913493135
IDA total,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.3385181,4.267358233,4.392994598
IDA blend,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.164877425,3.97964033,4.354712195
Indonesia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.381000042,4.151000023,4.561999798
IDA only,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.419006894,4.400512017,4.410834016
Isle of Man,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
India,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.234999895,3.190999985,3.263999939
Not classified,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Ireland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",14.90699959,12.76799965,10.78299999
"Iran, Islamic Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",8.56499958,8.781999588,9.265999794
Iraq,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.052999973,7.18900013,7.089000225
Iceland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.651000023,4.999000072,3.913000107
Israel,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.18200016,5.866000175,5.127999783
Italy,"Unemployment, male (% of male labor force) (modeled ILO estimate)",11.48400021,11.86299992,11.32800007
Jamaica,"Unemployment, male (% of male labor force) (modeled ILO estimate)",12.27200031,10.35400009,10.12300014
Jordan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.57199955,10.01399994,11.04100037
Japan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.293000221,3.746000051,3.561000109
Kazakhstan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.565999985,4.215000153,4.106999874
Kenya,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.244000435,8.144000053,8.055999756
Kyrgyz Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.431000233,7.02699995,6.539000034
Cambodia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.324000001,0.194999993,0.193000004
Kiribati,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
St. Kitts and Nevis,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
"Korea, Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",3.305000067,3.559000015,3.680000067
Kuwait,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.404999971,2.000999928,1.251000047
Latin America & Caribbean (excluding high income),"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.339748711,5.164166607,5.590182911
Lao PDR,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.735000014,0.720000029,0.70599997
Lebanon,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.303999901,5.335999966,5.363999844
Liberia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.227999926,2.255000114,2.256999969
Libya,"Unemployment, male (% of male labor force) (modeled ILO estimate)",15.82499981,15.68900013,15.58600044
St. Lucia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",19.81999969,20.23500061,21.5170002
Latin America & Caribbean,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.429652139,5.320221497,5.678566516
Least developed countries: UN classification,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.393151791,4.387404516,4.420713492
Low income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.042496934,5.025718303,5.067115975
Liechtenstein,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Sri Lanka,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.16899991,2.924000025,3.131999969
Lower middle income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.897997132,3.861075003,3.956382878
Low & middle income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.784514919,4.773333064,4.886515301
Lesotho,"Unemployment, male (% of male labor force) (modeled ILO estimate)",22.25099945,22.43099976,24.72299957
Late-demographic dividend,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.158022599,5.11919088,5.252576625
Lithuania,"Unemployment, male (% of male labor force) (modeled ILO estimate)",13.06400013,12.18599987,10.09899998
Luxembourg,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.426000118,5.915999889,6.109000206
Latvia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",12.59899998,11.84599972,11.08399963
"Macao SAR, China","Unemployment, male (% of male labor force) (modeled ILO estimate)",2.226999998,1.932000041,2.015000105
St. Martin (French part),"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Morocco,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.119000435,9.531000137,9.413000107
Monaco,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Moldova,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.984000206,4.578000069,4.436999798
Madagascar,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.856999993,1.136999965,1.726999998
Maldives,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.625,4.835999966,4.697999954
Middle East & North Africa,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.027262037,8.086718308,8.114251034
Mexico,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.910999775,4.808000088,4.260000229
Marshall Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Middle income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.759032225,4.747978846,4.868059687
"Macedonia, FYR","Unemployment, male (% of male labor force) (modeled ILO estimate)",28.98399925,27.64699936,26.72500038
Mali,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.416999817,6.485000134,7.18900013
Malta,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.472000122,6.092000008,5.508999825
Myanmar,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.683000028,0.680000007,0.676999986
Middle East & North Africa (excluding high income),"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.43253033,9.585061275,9.735002405
Montenegro,"Unemployment, male (% of male labor force) (modeled ILO estimate)",20.04199982,17.80900002,18.21899986
Mongolia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.013000011,5.076000214,5.303999901
Northern Mariana Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Mozambique,"Unemployment, male (% of male labor force) (modeled ILO estimate)",21.2159996,23.06100082,23.05500031
Mauritania,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.81000042,8.762000084,8.583999634
Mauritius,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.343999863,5.433000088,5.528999805
Malawi,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.987999916,4.977000237,4.90500021
Malaysia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.920000076,2.655999899,2.913000107
North America,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.621841725,6.38138452,5.591287845
Namibia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",17.45199966,16.76300049,17.91799927
New Caledonia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",13.75699997,13.70400047,13.69799995
Niger,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.42899999,0.451000005,0.419999987
Nigeria,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.884000063,4.952000141,4.68200016
Nicaragua,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.160999775,3.842999935,3.812999964
Netherlands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.18900013,7.136000156,6.53000021
Norway,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.59100008,3.707000017,4.56400013
Nepal,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.822000027,3.482000113,3.622999907
Nauru,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
New Zealand,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.235000134,4.752999783,4.928999901
OECD members,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.834150483,7.263204189,6.681175448
Oman,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.312000036,2.094000101,1.870000005
Other small states,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.437517231,8.226873685,8.158331936
Pakistan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.805000067,1.774999976,2.822000027
Panama,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.339999914,4.019000053,3.690000057
Peru,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.983999968,2.868999958,3.032000065
Philippines,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.292000055,3.520999908,2.901000023
Palau,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Papua New Guinea,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.536000013,3.572000027,3.559000015
Poland,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.68999958,8.498000145,7.328000069
Pre-demographic dividend,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.188327343,5.405961472,5.364960591
Puerto Rico,"Unemployment, male (% of male labor force) (modeled ILO estimate)",15.7510004,15.3210001,13.21800041
"Korea, Dem. People’s Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",5.28399992,5.271999836,5.309000015
Portugal,"Unemployment, male (% of male labor force) (modeled ILO estimate)",16.00499916,13.47599983,12.15200043
Paraguay,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.980000019,3.851999998,4.304999828
West Bank and Gaza,"Unemployment, male (% of male labor force) (modeled ILO estimate)",20.53800011,23.99300003,22.36599922
Pacific island small states,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.593786781,4.0006767,3.969778359
Post-demographic dividend,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.041146636,7.439025815,6.832006174
French Polynesia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",21.03000069,20.8920002,20.78899956
Qatar,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.088,0.064000003,0.057999998
Romania,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.71600008,7.354000092,7.539000034
Russian Federation,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.762000084,5.481999874,5.81799984
Rwanda,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.90199995,1.067999959,1.06400001
South Asia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.287119363,3.142609864,3.306004497
Saudi Arabia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.786999941,2.769999981,2.463000059
Sudan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.270999908,9.213000298,9.177000046
Senegal,"Unemployment, male (% of male labor force) (modeled ILO estimate)",6.526000023,5.776000023,4.843999863
Singapore,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.732000113,2.73300004,1.646000028
Solomon Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.957000017,1.960000038,1.967000008
Sierra Leone,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.498000145,5.547999859,5.559000015
El Salvador,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.95600009,4.902999878,4.376999855
San Marino,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Somalia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.867000103,5.875999928,5.886000156
Serbia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",20.82500076,18.3939991,17.10199928
Sub-Saharan Africa (excluding high income),"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.74385546,5.892018153,5.869987932
South Sudan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",11.73900032,11.16100025,11.00800037
Sub-Saharan Africa,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.74385546,5.892018153,5.869987932
Small states,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.47155999,8.110838262,8.048478039
Sao Tome and Principe,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.053999901,8.994000435,8.947999954
Suriname,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.823999882,3.683000088,4.416999817
Slovak Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",13.97399998,12.81799984,10.31700039
Slovenia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.418000221,8.920000076,8.045000076
Sweden,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.175999641,8.194999695,7.53399992
Eswatini,"Unemployment, male (% of male labor force) (modeled ILO estimate)",26.45599937,26.15800095,25.88599968
Sint Maarten (Dutch part),"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Seychelles,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Syrian Arab Republic,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.64599991,10.53499985,10.76299953
Turks and Caicos Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Chad,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.804999828,4.789000034,4.784999847
East Asia & Pacific (IDA & IBRD countries),"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.380051107,4.398269995,4.451046675
Europe & Central Asia (IDA & IBRD countries),"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.774753905,7.88397153,7.765922233
Togo,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.130000114,2.125999928,2.121000051
Thailand,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.503000021,0.592999995,0.596000016
Tajikistan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.17199993,10.0170002,9.895999908
Turkmenistan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.46600008,3.404000044,3.395999908
Latin America & the Caribbean (IDA & IBRD countries),"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.419628651,5.325398266,5.705012314
Timor-Leste,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.736999989,2.76699996,2.785000086
Middle East & North Africa (IDA & IBRD countries),"Unemployment, male (% of male labor force) (modeled ILO estimate)",9.323944395,9.437204759,9.600351294
Tonga,"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.791999996,0.801999986,0.808000028
South Asia (IDA & IBRD),"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.287119363,3.142609864,3.306004497
Sub-Saharan Africa (IDA & IBRD countries),"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.74385546,5.892018153,5.869987932
Trinidad and Tobago,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.752000093,2.849999905,2.865999937
Tunisia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",13.29699993,12.68700027,12.58899975
Turkey,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.954999924,9.053999901,9.18900013
Tuvalu,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Tanzania,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2.012000084,1.585999966,1.585000038
Uganda,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.375,1.371999979,1.366999984
Ukraine,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.034999847,10.84500027,10.09599972
Upper middle income,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.629236374,5.653634761,5.80760354
Uruguay,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.006000042,5.072000027,6.367000103
United States,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.637000084,6.262000084,5.367000103
Uzbekistan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.18500042,8.126999855,8.062999725
St. Vincent and the Grenadines,"Unemployment, male (% of male labor force) (modeled ILO estimate)",16.7670002,17.13500023,16.93600082
"Venezuela, RB","Unemployment, male (% of male labor force) (modeled ILO estimate)",6.829999924,6.402999878,6.241000175
British Virgin Islands,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
Virgin Islands (U.S.),"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.179999828,6.816999912,6.745999813
Vietnam,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.929999948,1.899999976,2.234999895
Vanuatu,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.721000195,4.698999882,4.678999901
World,"Unemployment, male (% of male labor force) (modeled ILO estimate)",5.272339867,5.150946648,5.143039573
Samoa,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.856999874,7.756000042,7.789999962
Kosovo,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,
"Yemen, Rep.","Unemployment, male (% of male labor force) (modeled ILO estimate)",12.27400017,12.33899975,12.67099953
South Africa,"Unemployment, male (% of male labor force) (modeled ILO estimate)",22.96899986,23.15800095,23.21100044
Zambia,"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.228000164,7.197000027,7.175000191
Zimbabwe,"Unemployment, male (% of male labor force) (modeled ILO estimate)",4.554999828,4.473999977,4.421999931
